"파일","줄","원문","대사"
"src/data/npcTalk.js","29","날씨에 따라 속성 공격이 영향을 받기도 한단다. 비가 오는 날이면 불 속성 드래곤들은 쉬곤 하지.","날씨에 따라 속성 공격이 영향을 받기도 한단다. 비가 오는 날이면 불 속성 드래곤들은 쉬곤 하지."
"src/data/npcTalk.js","32","잘고라는 머리가 둘인데, 두 머리가 사이가 영 좋지 않아. 서로가 왕이라고 주장하지. 그 꼴로 백 년째란다.","잘고라는 머리가 둘인데, 두 머리가 사이가 영 좋지 않아. 서로가 왕이라고 주장하지. 그 꼴로 백 년째란다."
"src/data/npcTalk.js","33","젊을 때는 내 포효에 새들이 전부 도망가곤 했지. 지금은 기침이나 안 하면 다행이련만...","젊을 때는 내 포효에 새들이 전부 도망가곤 했지. 지금은 기침이나 안 하면 다행이련만..."
"src/data/npcTalk.js","36","이그나르는...... 한때는 사이가 좋았지.","이그나르는...... 한때는 사이가 좋았지."
"src/data/npcTalk.js","37","다음 촌장은 너에게 맡기고 싶구나. 아니, 농담이 아니란다. 이젠 쉴 때도 되었지...","다음 촌장은 너에게 맡기고 싶구나. 아니, 농담이 아니란다. 이젠 쉴 때도 되었지..."
"src/data/npcTalk.js","40","마을을 지킨다.","마을을 지킨다."
"src/data/npcTalk.js","40","얼어붙어라!","얼어붙어라!"
"src/data/npcTalk.js","41","잠깐만 쉬마...","잠깐만 쉬마..."
"src/data/npcTalk.js","46","어어, 그 하늘에서 떨어졌다는 애로구먼. 앉어, 앉어. 고기는 안 물지만 얘기는 물지.","어어, 그 하늘에서 떨어졌다는 애로구먼. 앉어, 앉어. 고기는 안 물지만 얘기는 물지."
"src/data/npcTalk.js","47","왔는가. 오늘은 세 마리여. 어제는 다섯이었는디, 뭐 그런 날도 있는 거지.","왔는가. 오늘은 세 마리여. 어제는 다섯이었는디, 뭐 그런 날도 있는 거지."
"src/data/npcTalk.js","48","자네 왔구먼. 미루가 자네 얘기를 자꾸 물어싸서 내가 다 아는 척을 했지.","자네 왔구먼. 미루가 자네 얘기를 자꾸 물어싸서 내가 다 아는 척을 했지."
"src/data/npcTalk.js","49","어이, 낚싯대 하나 더 있는디 같이 앉을랑가. 말 없이 앉아 있어도 되는 게 낚시의 좋은 점이여.","어이, 낚싯대 하나 더 있는디 같이 앉을랑가. 말 없이 앉아 있어도 되는 게 낚시의 좋은 점이여."
"src/data/npcTalk.js","52","낚시는 말이여, 고기를 잡는 게 아니라 기다리는 거여. 기다리다 보면 고기가 지가 알아서 오는 날이 있지.","낚시는 말이여, 고기를 잡는 게 아니라 기다리는 거여. 기다리다 보면 고기가 지가 알아서 오는 날이 있지."
"src/data/npcTalk.js","53","미루랑은 스무 해를 살았는디 아직도 밥때마다 잔소리를 들어. 근디 그게 없으면 밥맛이 없더라고.","미루랑은 스무 해를 살았는디 아직도 밥때마다 잔소리를 들어. 근디 그게 없으면 밥맛이 없더라고."
"src/data/npcTalk.js","53","습격이 있던 날은 미루가 밤새 안 자. 그럴 땐 내가 낚시 얘기를 한없이 늘어놓지. 그러면 지루해서 잠들거든.","습격이 있던 날은 미루가 밤새 안 자. 그럴 땐 내가 낚시 얘기를 한없이 늘어놓지. 그러면 지루해서 잠들거든."
"src/data/npcTalk.js","54","우리도 알을 하나 품은 적이 있었어. 깨지는 않았지. 그 뒤로 미루는 남의 아이를 유독 예뻐해.","우리도 알을 하나 품은 적이 있었어. 깨지는 않았지. 그 뒤로 미루는 남의 아이를 유독 예뻐해."
"src/data/npcTalk.js","55","자네 둥지에 알이 생기면 나한테 말해. 알은 낚시랑 같아서 서두르면 안 되거든. 내가 기다리는 법 하나는 잘 알지.","자네 둥지에 알이 생기면 나한테 말해. 알은 낚시랑 같아서 서두르면 안 되거든. 내가 기다리는 법 하나는 잘 알지."
"src/data/npcTalk.js","57","어이쿠, 이거 낚싯대로도 되나.","어이쿠, 이거 낚싯대로도 되나."
"src/data/npcTalk.js","57","미루 뒤로 가 있어!","미루 뒤로 가 있어!"
"src/data/npcTalk.js","58","허리야…","허리야…"
"src/data/npcTalk.js","63","어머, 네가 그 아이구나! 밥은 먹었어? 안 먹었으면 앉아. 우리 집 고기는 도란이 잡은 거라 못생겼어도 맛은 있어.","어머, 네가 그 아이구나! 밥은 먹었어? 안 먹었으면 앉아. 우리 집 고기는 도란이 잡은 거라 못생겼어도 맛은 있어."
"src/data/npcTalk.js","64","왔니? 도란은 또 호수야. 낚시가 아니라 낮잠을 하러 가는 거라니까.","왔니? 도란은 또 호수야. 낚시가 아니라 낮잠을 하러 가는 거라니까."
"src/data/npcTalk.js","65","어서 와. 요즘 얼굴이 좀 폈네. 잘 먹고 다니는구나.","어서 와. 요즘 얼굴이 좀 폈네. 잘 먹고 다니는구나."
"src/data/npcTalk.js","66","우리 집 문은 늘 열려 있으니까 배고프면 그냥 들어와. 도란한테는 말 안 해도 돼, 어차피 몰라.","우리 집 문은 늘 열려 있으니까 배고프면 그냥 들어와. 도란한테는 말 안 해도 돼, 어차피 몰라."
"src/data/npcTalk.js","69","고기 말리는 건 해 뜰 때 널고 해 질 때 걷는 거야. 그 사이에 비가 오면… 그냥 우는 거지 뭐.","고기 말리는 건 해 뜰 때 널고 해 질 때 걷는 거야. 그 사이에 비가 오면… 그냥 우는 거지 뭐."
"src/data/npcTalk.js","70","도란은 스무 해 동안 나한테 한 번도 예쁘다는 말을 안 했어. 대신 제일 큰 고기는 늘 내 그릇에 올려 놔. 그걸로 됐지 뭐.","도란은 스무 해 동안 나한테 한 번도 예쁘다는 말을 안 했어. 대신 제일 큰 고기는 늘 내 그릇에 올려 놔. 그걸로 됐지 뭐."
"src/data/npcTalk.js","70","습격 있던 밤에 도란이 내 앞을 막고 섰는데, 손이 덜덜 떨리더라. 그런데도 안 비켰어. 그날 저녁에 내가 처음으로 잔소리를 안 했어.","습격 있던 밤에 도란이 내 앞을 막고 섰는데, 손이 덜덜 떨리더라. 그런데도 안 비켰어. 그날 저녁에 내가 처음으로 잔소리를 안 했어."
"src/data/npcTalk.js","71","우리한테도 알이 하나 있었어. 깨지 않았지만, 그래도 그때 둥지를 만들어 둔 게 남아 있어. 포코가 가끔 거기서 낮잠을 자.","우리한테도 알이 하나 있었어. 깨지 않았지만, 그래도 그때 둥지를 만들어 둔 게 남아 있어. 포코가 가끔 거기서 낮잠을 자."
"src/data/npcTalk.js","72","너 짝이 생기면 나한테 데려와. 내가 밥을 먹여 봐야 알아. 밥 먹는 걸 보면 그 용이 어떤 용인지 다 보이거든.","너 짝이 생기면 나한테 데려와. 내가 밥을 먹여 봐야 알아. 밥 먹는 걸 보면 그 용이 어떤 용인지 다 보이거든."
"src/data/npcTalk.js","74","저리 가! 돌 던진다!","저리 가! 돌 던진다!"
"src/data/npcTalk.js","74","도란, 앞에 서지 말라니까!","도란, 앞에 서지 말라니까!"
"src/data/npcTalk.js","75","아이고…","아이고…"
"src/data/npcTalk.js","80","…어. 하늘에서 온 애. 나무 하러 가는 길이니까 볼일 있으면 빨리 말해.","…어. 하늘에서 온 애. 나무 하러 가는 길이니까 볼일 있으면 빨리 말해."
"src/data/npcTalk.js","81","왔냐. 누리 못 봤어? 또 포코 뒤를 따라간 모양인데.","왔냐. 누리 못 봤어? 또 포코 뒤를 따라간 모양인데."
"src/data/npcTalk.js","82","어, 왔어. 장작 필요하면 가져가. 돈은 됐고, 누리한테 놀아 준 값이야.","어, 왔어. 장작 필요하면 가져가. 돈은 됐고, 누리한테 놀아 준 값이야."
"src/data/npcTalk.js","83","자네가 오면 누리가 하루 종일 자네 얘기야. 나도 좀 궁금해서 기다렸어.","자네가 오면 누리가 하루 종일 자네 얘기야. 나도 좀 궁금해서 기다렸어."
"src/data/npcTalk.js","86","나무는 마른 걸 베는 거야. 산 나무를 베면 숲이 기억해. 우리 아버지가 그랬어.","나무는 마른 걸 베는 거야. 산 나무를 베면 숲이 기억해. 우리 아버지가 그랬어."
"src/data/npcTalk.js","87","누리가 알에서 나온 날 습격이 있었어. 소이가 알을 안고 굴 안에 있었고 나는 문 앞에 서 있었지. 그날 이후로 도끼를 내려놓은 적이 없어.","누리가 알에서 나온 날 습격이 있었어. 소이가 알을 안고 굴 안에 있었고 나는 문 앞에 서 있었지. 그날 이후로 도끼를 내려놓은 적이 없어."
"src/data/npcTalk.js","88","누리가 자꾸 숲에 따라가겠다고 해. 아직 멀었다고 하면 울고. …자네도 어릴 때 그랬어?","누리가 자꾸 숲에 따라가겠다고 해. 아직 멀었다고 하면 울고. …자네도 어릴 때 그랬어?"
"src/data/npcTalk.js","89","나는 말을 잘 못 해. 그런데 누리가 자네를 형이라고, 누나라고 부르는 걸 들으니까 뭔가 말을 해야 할 것 같아서. …고마워. 그게 다야.","나는 말을 잘 못 해. 그런데 누리가 자네를 형이라고, 누나라고 부르는 걸 들으니까 뭔가 말을 해야 할 것 같아서. …고마워. 그게 다야."
"src/data/npcTalk.js","91","집 근처로는 못 온다!","집 근처로는 못 온다!"
"src/data/npcTalk.js","91","누리, 들어가 있어!","누리, 들어가 있어!"
"src/data/npcTalk.js","92","…소이, 누리는…","…소이, 누리는…"
"src/data/npcTalk.js","97","어머, 네가 하늘에서 왔다는 아이구나. 누리가 네 얘기를 얼마나 하는지 몰라.","어머, 네가 하늘에서 왔다는 아이구나. 누리가 네 얘기를 얼마나 하는지 몰라."
"src/data/npcTalk.js","98","왔니? 누리 좀 봐 줄래? 아니야, 농담이야. …반은 농담이야.","왔니? 누리 좀 봐 줄래? 아니야, 농담이야. …반은 농담이야."
"src/data/npcTalk.js","99","어서 와. 오늘 누리가 널 보면 또 태워 달라고 할 텐데, 힘들면 안 된다고 해도 돼.","어서 와. 오늘 누리가 널 보면 또 태워 달라고 할 텐데, 힘들면 안 된다고 해도 돼."
"src/data/npcTalk.js","100","네가 오면 마음이 놓여. 누리가 너 옆에 있으면 아무 데도 안 가거든.","네가 오면 마음이 놓여. 누리가 너 옆에 있으면 아무 데도 안 가거든."
"src/data/npcTalk.js","103","아이는 하루에 세 번 비늘을 닦아 줘야 해. 안 그러면 사흘 만에 재투성이가 되더라.","아이는 하루에 세 번 비늘을 닦아 줘야 해. 안 그러면 사흘 만에 재투성이가 되더라."
"src/data/npcTalk.js","104","누리가 태어난 날 밤에 나팔이 울렸어. 알을 안고 굴 안에서 숨을 죽이고 있었는데, 그 안에서 누리가 껍데기를 깼어. 무서웠는데 그 소리가 나니까 이상하게 안 무섭더라.","누리가 태어난 날 밤에 나팔이 울렸어. 알을 안고 굴 안에서 숨을 죽이고 있었는데, 그 안에서 누리가 껍데기를 깼어. 무서웠는데 그 소리가 나니까 이상하게 안 무섭더라."
"src/data/npcTalk.js","105","누리는 포코를 제일 좋아해. 포코가 겁이 많은 게 누리 눈에는 '조심성'으로 보이나 봐. 둘이 숨는 자리를 서로 알려 주더라.","누리는 포코를 제일 좋아해. 포코가 겁이 많은 게 누리 눈에는 '조심성'으로 보이나 봐. 둘이 숨는 자리를 서로 알려 주더라."
"src/data/npcTalk.js","106","나중에 네가 알을 품게 되면 나한테 물어. 단은 아무것도 몰라. 알 옆에서 코 골고 잔 것밖에.","나중에 네가 알을 품게 되면 나한테 물어. 단은 아무것도 몰라. 알 옆에서 코 골고 잔 것밖에."
"src/data/npcTalk.js","108","누리! 엄마한테 와!","누리! 엄마한테 와!"
"src/data/npcTalk.js","108","여기 오지 마!","여기 오지 마!"
"src/data/npcTalk.js","109","누리… 누리 어디 있어…","누리… 누리 어디 있어…"
"src/data/npcTalk.js","114","우와, 큰 날개! 나 태워 줘! 안 돼? 그럼 반만!","우와, 큰 날개! 나 태워 줘! 안 돼? 그럼 반만!"
"src/data/npcTalk.js","115","형아! 누나! …뭐라고 불러야 돼? 아 몰라, 그냥 큰 용!","형아! 누나! …뭐라고 불러야 돼? 아 몰라, 그냥 큰 용!"
"src/data/npcTalk.js","116","나 오늘 포코 형이랑 숨는 데 세 군데 찾았다! 알려 줄까? 비밀인데.","나 오늘 포코 형이랑 숨는 데 세 군데 찾았다! 알려 줄까? 비밀인데."
"src/data/npcTalk.js","117","왔다! 나 기다렸어! 엄마가 기다리는 거 아니라고 했는데 기다린 거 맞아!","왔다! 나 기다렸어! 엄마가 기다리는 거 아니라고 했는데 기다린 거 맞아!"
"src/data/npcTalk.js","120","엄마가 나 비늘 닦을 때 간지러워서 도망가면 아빠가 잡아. 아빠는 힘이 세.","엄마가 나 비늘 닦을 때 간지러워서 도망가면 아빠가 잡아. 아빠는 힘이 세."
"src/data/npcTalk.js","120","포코 형은 나팔 소리 나면 대장간에 숨어. 나는 엄마한테 숨어. 엄마가 더 안전해.","포코 형은 나팔 소리 나면 대장간에 숨어. 나는 엄마한테 숨어. 엄마가 더 안전해."
"src/data/npcTalk.js","121","나도 숲에 가고 싶은데 아빠가 안 된대. 아직 멀었대. 얼마나 멀어? 나 어제보다 이만큼 컸는데.","나도 숲에 가고 싶은데 아빠가 안 된대. 아직 멀었대. 얼마나 멀어? 나 어제보다 이만큼 컸는데."
"src/data/npcTalk.js","122","나 어제 밤에 하늘에서 별 떨어지는 거 봤어! 너도 그렇게 떨어졌어? 아팠어? 나도 떨어져 볼래!","나 어제 밤에 하늘에서 별 떨어지는 거 봤어! 너도 그렇게 떨어졌어? 아팠어? 나도 떨어져 볼래!"
"src/data/npcTalk.js","123","나 크면 큰 용처럼 될 거야. 그때는 내가 태워 줄게. 약속!","나 크면 큰 용처럼 될 거야. 그때는 내가 태워 줄게. 약속!"
"src/data/npcTalk.js","125","엄마!","엄마!"
"src/data/npcTalk.js","125","으앙!","으앙!"
"src/data/npcTalk.js","126","…엄마…","…엄마…"
"src/data/npcTalk.js","131","…? (이슬이 고개를 갸웃하더니 네 발톱을 입에 넣어 보려고 한다.)","…? (이슬이 고개를 갸웃하더니 네 발톱을 입에 넣어 보려고 한다.)"
"src/data/npcTalk.js","132","아! 너! (이슬이 꼬리를 흔들며 달려와 다리에 부딪힌다.)","아! 너! (이슬이 꼬리를 흔들며 달려와 다리에 부딪힌다.)"
"src/data/npcTalk.js","133","왔다! 왔다! 엄마, 큰 용 왔어! …엄마 없네. 그럼 나랑 놀아.","왔다! 왔다! 엄마, 큰 용 왔어! …엄마 없네. 그럼 나랑 놀아."
"src/data/npcTalk.js","134","이름 지어 준 용! 나 내 이름 알아. 엄마가 하루에 백 번 불러.","이름 지어 준 용! 나 내 이름 알아. 엄마가 하루에 백 번 불러."
"src/data/npcTalk.js","137","(이슬이 도란이 놓고 간 고기를 가리키며 '맘마'라고 한다. 아직 씹지는 못하는 것 같다.)","(이슬이 도란이 놓고 간 고기를 가리키며 '맘마'라고 한다. 아직 씹지는 못하는 것 같다.)"
"src/data/npcTalk.js","138","누리 형아 뒤에 따라가면 재밌는 데를 알아. 근데 걷다가 넘어져. 다리가 아직 짧아.","누리 형아 뒤에 따라가면 재밌는 데를 알아. 근데 걷다가 넘어져. 다리가 아직 짧아."
"src/data/npcTalk.js","138","아빠는 물에서 고기를 꺼내 와. 나도 물에 가고 싶은데 엄마가 안 된대.","아빠는 물에서 고기를 꺼내 와. 나도 물에 가고 싶은데 엄마가 안 된대."
"src/data/npcTalk.js","139","엄마가 밤에 나를 안고 자꾸 뭐라고 말해. '이번에는'이라고. 그게 뭐야?","엄마가 밤에 나를 안고 자꾸 뭐라고 말해. '이번에는'이라고. 그게 뭐야?"
"src/data/npcTalk.js","140","나 크면 하늘 날 거야. 아빠는 물, 엄마는 집, 나는 하늘. 그러면 다 있는 거잖아.","나 크면 하늘 날 거야. 아빠는 물, 엄마는 집, 나는 하늘. 그러면 다 있는 거잖아."
"src/data/npcTalk.js","142","엄마!","엄마!"
"src/data/npcTalk.js","142","(이슬이 미루 뒤로 숨는다.)","(이슬이 미루 뒤로 숨는다.)"
"src/data/npcTalk.js","148","웨스턴에서 온 것이군. 베스나가 들여보냈으니 들어와라. 다만 눈은 그분 쪽으로 돌리지 마라.","웨스턴에서 온 것이군. 베스나가 들여보냈으니 들어와라. 다만 눈은 그분 쪽으로 돌리지 마라."
"src/data/npcTalk.js","149","또 왔군. 여기서는 아무도 너를 건드리지 않는다. 그건 예의가 아니라 규율이다.","또 왔군. 여기서는 아무도 너를 건드리지 않는다. 그건 예의가 아니라 규율이다."
"src/data/npcTalk.js","150","너구나. 잿별이 네 얘기를 자꾸 물어서 곤란하다. 하늘 얘기는 여기서 함부로 하는 게 아닌데.","너구나. 잿별이 네 얘기를 자꾸 물어서 곤란하다. 하늘 얘기는 여기서 함부로 하는 게 아닌데."
"src/data/npcTalk.js","151","…앉아라. 나도 웨스턴에서 났다. 스무 해 전에 넘어왔지. 그 얘기는 아무한테도 하지 마라.","…앉아라. 나도 웨스턴에서 났다. 스무 해 전에 넘어왔지. 그 얘기는 아무한테도 하지 마라."
"src/data/npcTalk.js","154","여기서는 나팔이 없다. 나팔이 필요 없는 마을을 만드는 데 예순 해가 걸렸다.","여기서는 나팔이 없다. 나팔이 필요 없는 마을을 만드는 데 예순 해가 걸렸다."
"src/data/npcTalk.js","155","인간들이 얼씬도 하지 않는 건 우리가 세서가 아니라, 여기 누가 사는지 알기 때문이다. 그분 이름 하나가 망루 열 개보다 낫다.","인간들이 얼씬도 하지 않는 건 우리가 세서가 아니라, 여기 누가 사는지 알기 때문이다. 그분 이름 하나가 망루 열 개보다 낫다."
"src/data/npcTalk.js","156","나는 스무 해 전 전쟁이 끝난 날 밤에 폭포 아래에서 여기까지 걸어왔다. 웨스턴에서는 제자들이 서로 죽이는 걸 봤고, 여기서는 아무도 죽지 않는 걸 봤다. 어느 쪽을 고르겠나.","나는 스무 해 전 전쟁이 끝난 날 밤에 폭포 아래에서 여기까지 걸어왔다. 웨스턴에서는 제자들이 서로 죽이는 걸 봤고, 여기서는 아무도 죽지 않는 걸 봤다. 어느 쪽을 고르겠나."
"src/data/npcTalk.js","157","…그런데 가끔은 웨스턴의 시끄러운 밥때가 그립다. 여기 밥때는 조용해. 다들 정해진 자리에서 정해진 만큼 먹지.","…그런데 가끔은 웨스턴의 시끄러운 밥때가 그립다. 여기 밥때는 조용해. 다들 정해진 자리에서 정해진 만큼 먹지."
"src/data/npcTalk.js","159","규율이다. 물러서라.","규율이다. 물러서라."
"src/data/npcTalk.js","159","여기서 싸움은 없다.","여기서 싸움은 없다."
"src/data/npcTalk.js","160","…규율을 어겼군.","…규율을 어겼군."
"src/data/npcTalk.js","165","너 하늘에서 떨어진 용이지? 진짜야? 하늘에서 떨어지면 안 아파?","너 하늘에서 떨어진 용이지? 진짜야? 하늘에서 떨어지면 안 아파?"
"src/data/npcTalk.js","166","또 왔다! 흑단 아저씨가 너한테 말 걸지 말랬는데 나는 안 들은 척할래.","또 왔다! 흑단 아저씨가 너한테 말 걸지 말랬는데 나는 안 들은 척할래."
"src/data/npcTalk.js","167","있잖아, 웨스턴 마을에는 나팔이 있다며? 그게 무슨 소리야? 무서운 소리야, 좋은 소리야?","있잖아, 웨스턴 마을에는 나팔이 있다며? 그게 무슨 소리야? 무서운 소리야, 좋은 소리야?"
"src/data/npcTalk.js","168","나 너 기다렸어. 여기는 새로 오는 용이 없어서 심심하단 말이야.","나 너 기다렸어. 여기는 새로 오는 용이 없어서 심심하단 말이야."
"src/data/npcTalk.js","171","여기 애들은 다 같은 시간에 자고 같은 시간에 일어나. 그래서 밤에 몰래 나오면 아무도 없어. 별이 다 내 거야.","여기 애들은 다 같은 시간에 자고 같은 시간에 일어나. 그래서 밤에 몰래 나오면 아무도 없어. 별이 다 내 거야."
"src/data/npcTalk.js","172","그분은 산 위에 계셔. 나는 한 번도 못 봤어. 흑단 아저씨는 봤대. 무섭냐고 물으니까 대답을 안 하더라.","그분은 산 위에 계셔. 나는 한 번도 못 봤어. 흑단 아저씨는 봤대. 무섭냐고 물으니까 대답을 안 하더라."
"src/data/npcTalk.js","173","엄마 아빠는 웨스턴 얘기를 안 해. 그런데 가끔 밤에 둘이 '나팔'이라는 말을 해. 그게 뭔지 알면 나 좀 알려 줘.","엄마 아빠는 웨스턴 얘기를 안 해. 그런데 가끔 밤에 둘이 '나팔'이라는 말을 해. 그게 뭔지 알면 나 좀 알려 줘."
"src/data/npcTalk.js","174","나 크면 하늘까지 날아가 볼 거야. 네가 떨어진 데가 어딘지 보러. 거기에 나 같은 애가 또 있을지도 모르잖아.","나 크면 하늘까지 날아가 볼 거야. 네가 떨어진 데가 어딘지 보러. 거기에 나 같은 애가 또 있을지도 모르잖아."
"src/data/npcTalk.js","176","으악!","으악!"
"src/data/npcTalk.js","176","아저씨!","아저씨!"
"src/data/npcTalk.js","182","밀림 바깥에서 온 아이로구나. 배고프지? 열매 하나 먹고 얘기하렴.","밀림 바깥에서 온 아이로구나. 배고프지? 열매 하나 먹고 얘기하렴."
"src/data/npcTalk.js","183","또 왔니. 펀이 아침부터 문 앞을 서성이더니 네가 온다고 그런 거였구나.","또 왔니. 펀이 아침부터 문 앞을 서성이더니 네가 온다고 그런 거였구나."
"src/data/npcTalk.js","184","어서 오렴. 손 좀 보자. …가시에 긁혔네. 이거 발라.","어서 오렴. 손 좀 보자. …가시에 긁혔네. 이거 발라."
"src/data/npcTalk.js","185","왔구나. 너 올 때마다 모스 어른이 한 살은 젊어지신다니까.","왔구나. 너 올 때마다 모스 어른이 한 살은 젊어지신다니까."
"src/data/npcTalk.js","188","약초는 뿌리째 뽑으면 안 된단다. 잎만 따야 내년에 또 나지. 사람들은 그걸 몰라서 뽑아 가더구나.","약초는 뿌리째 뽑으면 안 된단다. 잎만 따야 내년에 또 나지. 사람들은 그걸 몰라서 뽑아 가더구나."
"src/data/npcTalk.js","189","펀이 날개 큰 용만 보면 저렇게 좋아하는 건, 제 아버지가 날개가 컸기 때문이란다. 쌍두룡한테 사냥터를 빼앗기던 해에 떠났어.","펀이 날개 큰 용만 보면 저렇게 좋아하는 건, 제 아버지가 날개가 컸기 때문이란다. 쌍두룡한테 사냥터를 빼앗기던 해에 떠났어."
"src/data/npcTalk.js","190","굶던 해에 웨스턴에서 아무도 안 왔지. 그런데 너희도 굶고 있었다는 걸 나중에 알았어. 서로 몰랐던 게 제일 슬픈 일이더구나.","굶던 해에 웨스턴에서 아무도 안 왔지. 그런데 너희도 굶고 있었다는 걸 나중에 알았어. 서로 몰랐던 게 제일 슬픈 일이더구나."
"src/data/npcTalk.js","191","펀이 너를 따라 바깥으로 나가겠다고 하면… 말리지는 않을 거야. 다만 돌아오는 길은 꼭 알려 주렴.","펀이 너를 따라 바깥으로 나가겠다고 하면… 말리지는 않을 거야. 다만 돌아오는 길은 꼭 알려 주렴."
"src/data/npcTalk.js","193","펀, 뒤로!","펀, 뒤로!"
"src/data/npcTalk.js","193","이 아이들 건드리지 마라!","이 아이들 건드리지 마라!"
"src/data/npcTalk.js","194","펀…","펀…"
"src/data/npcTalk.js","199","어이구, 바깥 용이 여기까지? 앉어, 앉어. 돌이 그놈이 또 한판 붙자고 안 하디?","어이구, 바깥 용이 여기까지? 앉어, 앉어. 돌이 그놈이 또 한판 붙자고 안 하디?"
"src/data/npcTalk.js","200","또 왔구먼. 예순 해 만에 손님이 오더니 이제 단골이 됐네.","또 왔구먼. 예순 해 만에 손님이 오더니 이제 단골이 됐네."
"src/data/npcTalk.js","201","어서 와. 가람 그놈은 말이 없어서 답답했지? 내가 대신 다 해 줄게.","어서 와. 가람 그놈은 말이 없어서 답답했지? 내가 대신 다 해 줄게."
"src/data/npcTalk.js","202","왔어? 내가 오늘은 이야기 열 개쯤 준비해 놨어. 도망가지 마.","왔어? 내가 오늘은 이야기 열 개쯤 준비해 놨어. 도망가지 마."
"src/data/npcTalk.js","205","바윗골은 말이여, 바위 위에 지은 마을이라 굴을 못 파. 그래서 집이 다 돌로 쌓은 거지. 무너진 적은 한 번도 없어.","바윗골은 말이여, 바위 위에 지은 마을이라 굴을 못 파. 그래서 집이 다 돌로 쌓은 거지. 무너진 적은 한 번도 없어."
"src/data/npcTalk.js","206","검은 용이 왔던 날 나는 어렸어. 가람이 아버지가 숨결을 내놓았지. 안 내놓으면 마을을 태우겠다는데 어쩔 거여. 그 뒤로 가람이는 웃지를 않아.","검은 용이 왔던 날 나는 어렸어. 가람이 아버지가 숨결을 내놓았지. 안 내놓으면 마을을 태우겠다는데 어쩔 거여. 그 뒤로 가람이는 웃지를 않아."
"src/data/npcTalk.js","207","돌이 그놈이 자꾸 너랑 붙자고 하는 건 널 좋아해서여. 우리 마을 애들은 좋아하면 들이받아. 나도 그랬고.","돌이 그놈이 자꾸 너랑 붙자고 하는 건 널 좋아해서여. 우리 마을 애들은 좋아하면 들이받아. 나도 그랬고."
"src/data/npcTalk.js","208","네가 가람이한테서 숨결을 받아 갔다며. 예순 해 만에 우리 마을 숨결이 바깥으로 나갔어. 이번에는 빼앗긴 게 아니라 준 거여. 그게 얼마나 다른 건지 너는 모를 거여.","네가 가람이한테서 숨결을 받아 갔다며. 예순 해 만에 우리 마을 숨결이 바깥으로 나갔어. 이번에는 빼앗긴 게 아니라 준 거여. 그게 얼마나 다른 건지 너는 모를 거여."
"src/data/npcTalk.js","210","이 늙은이가 무섭냐!","이 늙은이가 무섭냐!"
"src/data/npcTalk.js","210","돌아, 할미 뒤로!","돌아, 할미 뒤로!"
"src/data/npcTalk.js","211","아이고 허리…","아이고 허리…"
